case,mode,wire_beta0,src_beta0,rec_beta0,beta0_match,bottleneck_h0,n_bars_src,n_bars_rec
mitosis_clean,L0,8,8,8,1,0.0,9,9
mitosis_clean,L1,8,8,8,1,0.0,9,9
mitosis_clean,L2,8,8,8,1,0.0,9,9
mitosis_clean,L3,8,8,8,1,0.0,9,9
mitosis_three_defects,L0,11,11,8,0,0.3837620429371485,12,9
mitosis_three_defects,L1,11,11,11,1,0.3715263458896874,12,12
mitosis_three_defects,L2,11,11,8,0,0.2614616607474189,12,12
mitosis_three_defects,L3,11,11,9,0,0.09449431451106555,12,12
mazes_clean,L0,46,46,46,1,0.0,59,59
mazes_clean,L1,46,46,46,1,0.0,59,59
mazes_clean,L2,46,46,46,1,0.0,59,59
mazes_clean,L3,46,46,46,1,0.0,59,59
worms_one_defect,L0,49,49,49,1,0.005741912314672554,86,86
worms_one_defect,L1,49,49,49,1,0.01884279270978758,86,87
worms_one_defect,L2,49,49,49,1,0.014853733438612016,86,85
worms_one_defect,L3,49,49,49,1,0.01765745351624276,86,87
holes_one_defect,L0,2,2,2,1,0.30729770655630584,10,11
holes_one_defect,L1,2,2,2,1,0.30729770655630584,10,11
holes_one_defect,L2,2,2,2,1,0.009597425032446205,10,10
holes_one_defect,L3,2,2,2,1,0.30729770655630584,10,11
coral_one_defect,L0,1,1,1,1,0.004133334853969273,65,64
coral_one_defect,L1,1,1,1,1,0.004133334853969273,65,64
coral_one_defect,L2,1,1,1,1,0.0010541690485031951,65,67
coral_one_defect,L3,1,1,1,1,0.004133334853969273,65,62
